"Table 203.20. Enrollment in public elementary and secondary schools, by region, state, and jurisdiction: Selected years, fall 1990 through fall 2023",,,,,,,,,,,,,,,,,,,,,,,
"Region, state, and jurisdiction",Fall 1990,Fall 2000,Fall 2011,Fall 2012,Fall 2013,Fall 2014,Fall 2015,Fall 2016,Fall 2017,Fall 2018,Fall 2019,,Fall 2020,,Fall 2021,,Fall 2022,,Fall 2023,,Percent change in total enrollment,Projected enrollment,Projected enrollment
"Region, state, and jurisdiction",,,,,,,,,,,,,,,,,,,,,2013-23,2019-23,2022-23
1,2,3,4,5,6,7,8,9,10,11,12,12,13,13,14,14,15,15,16,,17,18,19
"
  DoDEA\2\",---,"107,755","87,216","84,997","81,771","76,627","74,970","72,226","71,134","71,406","70,419",,"66,136",,"66,955",,"61,928",,"65,522",,-19.9,-7.0,5.8
"
  Other jurisdictions",,,,,,,,,,,,,,,,,,,,,,,
    American Samoa,"12,463","15,702",---,---,---,---,---,---,"12,620","12,106","10,448",,"10,246",,---,,---,,---,,---,---,---
    Guam,"26,391","32,473","31,243","31,186","33,414","31,144","30,821","30,758","30,112","29,719","28,812",,"27,497",,"28,402",,---,,---,,---,---,---
    Northern Marianas,"6,449","10,004","11,011","10,646","10,638",---,---,---,---,---,---,,---,,"9,491",,"9,370",,"9,217",,-13.4,---,-1.6
    Puerto Rico,"644,734","612,725","452,740","434,609","423,934","410,950","379,818","365,181","346,096","307,282","292,518",,"276,413",,"259,535",,"250,668",,"240,910",,-43.2,-17.6,-3.9
    U.S. Virgin Islands,"21,750","19,459","15,711","15,192","14,953","14,241","13,805","13,194","10,868","10,718","10,907",,"10,993",,"10,234",,"10,166",,"10,312",,-31.0,-5.5,1.4
---Not available.,,,,,,,,,,,,,,,,,,,,,,,
#Rounds to zero.,,,,,,,,,,,,,,,,,,,,,,,
\1\Includes imputations for nonreported prekindergarten enrollment.,,,,,,,,,,,,,,,,,,,,,,,
\2\DoDEA = Department of Defense Education Activity. Includes both domestic and overseas schools.,,,,,,,,,,,,,,,,,,,,,,,
"NOTE: Detail may not sum to totals because of rounding. Prekindergarten enrollment may not be comparable across states or over time due to variation in reporting. Previous editions of this table included projections, which can be found at https://nces.ed.gov/programs/PES/current_tables.asp.",,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Common Core of Data (CCD), ""State Nonfiscal Survey of Public Elementary/Secondary Education,"" 1990-91 through 2023-24. Department of Defense Education Activity (DoDEA) Data Center, Enrollment Data, fall 2011 through fall 2023, retrieved November 16, 2023, from https://www.dodea.edu/education/research-accountability-and-evaluation/enrollment-management. (This table was prepared October 2024.)",,,,,,,,,,,,,,,,,,,,,,,
